,Cantonese,English,Simplified Chinese
746,笑片,journalist,记者
747,西片,conservative,保守
748,警匪片,cucumber,黄瓜
749,鬼片,insane / crazy,神经病
750,音樂,curious,好奇
751,歌,deceitful,骗人
752,飛,easy-going,随和
753,演唱會,enthusiastic,热情
754,樂器,extraverted,外向
755,鋼琴,friendly,友善
756,彈琴,cruel,残忍
757,小提琴,student,学生
758,拉小提琴,teacher,老师
759,歌迷,translator,翻译
760,偶像,hair (on head),头发
761,歌星,teeth,牙齿
762,海灘,period,大姨妈到
763,雲,snot,鼻涕
764,森林,bathing suit,泳衣
765,叢林,belt,皮帶
766,湖,skin,皮肤
767,月亮,when?,什么时候?
768,植物,coat,大衣
769,河,bathroom,浴室
770,岩石,dress,连衣裙
771,海,fingernail,指甲
772,天空,ear,耳朵
773,星,subway,地铁
774,太陽,briefs / panties,内裤
775,游水,horror movie,鬼片
776,樹,shoulder,肩膀
777,水,organ,器官
778,瀑布,waiter / waitress,服务员
779,浪,writer,作家
780,職業,dictionary,字典
781,演員,stamp,邮票
782,商人,telephone,电话
783,廚師,affectionate,亲切
784,公務員,sick,生病
785,牙醫,arrogant,自大
786,醫生,corn,玉米
787,工程師,what's up,怎么样啊
788,農民,telephone,电话
789,漁夫,how much?,多少?
790,家庭主婦,muscle,肌肉
791,記者,nerve,神经
792,律師,cold,冷淡
793,搵工,foreign film,外国电影
794,經理,brave,勇敢
795,護士,anime,动画
796,打工仔,Tian Hou,天后
797,藥劑師,witch,巫婆
798,差人,restaurant,餐厅
799,政客,receipt / bill,發票
800,前台,chef,厨师
801,言語治療師,guest,客人
802,學生,temple,寺庙
803,外科醫生,menu,菜单
804,老師,waiter / waitress,服务员
805,翻譯,where?,哪里？
806,侍應,here,这里
807,作家,there,那里
808,辦公室,direction,方向
809,書,right,右
810,櫈,tip,小費
811,電腦 ,ancestor worship,祭祖
812,抬,God,天主
813,字典,inside,里面
814,信,train,火车
815,紙,tram,电车
816,訂書機,TV,电视
817,郵票,host,主持
818,電話,radio station,电台
819,心不在焉,feel,感觉
820,親切,hear,听见
821,有野心,comedy,笑片
822,自大,listen to,收听
823,勇敢,notice,通知
824,冷淡,see,看見
825,自負,stare at,盯着
826,自信,bike,自行车
827,保守,kind,善良
828,黐線,airport,机场
829,癲,outside,外面
830,殘忍,telephone,电话
831,好奇,ignore,忽视
832,呃人,smart,聪明
833,隨和,fan of a singer,歌迷
834,精力充沛,play piano,弹琴
835,熱情,piano,钢琴
836,外向,bronze,青铜
837,友善,cement,水泥
838,搞笑,diamond,钻石
839,大方,sun,太阳
840,貪心,how much it cost,多少钱
841,勤力,movie,电影
842,誠實,cinema,电影院
843,無知,subtitles,字幕
844,冇耐性,actor,演员
845,唔禮貌,fan,影迷
846,聰明,introverted,内向
847,醒目,change,零钱
848,聰明,dentist,牙医
849,叻,rewind,回带
850,激烈,businessperson,商人
851,內向,beach,海滩
852,善良,chef,厨师
853,懶,forest,森林
854,嘈,jungle,丛林
855,謙虛,moon,月亮
856,八卦,plant,植物
857,討厭,pop star,歌星
858,癡迷,idol,偶像
859,怪,sky,天空
860,有耐性,swim,游泳
861,有禮貌,waterfall,瀑布
862,靠得住,actor,演员
863,足智多謀,occupation,职业
864,有責任感,rock,岩石
865,自私,to be vegetarian,吃素
866,敏感,vitamin,维生素
867,怕醜,AIDS,艾滋病
868,儍,anorexia,厌食症
869,怪,salmon,鲑鱼
870,固執,arthritis,关节炎
871,蠢,boxer shorts,平角裤
872,迷信,maroon,枣红色
873,靠唔住,caffeine,咖啡因
874,怪,stapler,订书机
875,聰明,nail clippers,指甲刀
876,禿頭,athlete's foot,脚气
877,靚,knee,膝盖
878,得意,cherry,樱桃
879,黑暗,tuna,吞拿鱼
880,肥,cantaloupe,哈蜜瓜
881,適合,violin,小提琴
882,靚仔,fig,无花果
883,瘦,guava,石榴
884,老,instant noodles,方便面
885,蒼白,kiwi,奇异果
886,懷孕,melon,哈密瓜
887,性感,turnip,萝卜
888,矮,broccoli,西兰花
889,皮包骨,ambitious,有野心
890,苗條,carrot,胡萝卜
891,强壯,Oolong tea,乌龙茶
892,粗壯,electric razor,电剃须刀
893,高,shaving cream,剃须膏 
894,瘦,conditioner,护发素
895,醜樣,hungry,饿
896,年輕,civil servant,公务员
897,植物,sink,洗手盘
898,竹,computer ,电脑
899,盆景,office,办公室
900,灌木,engineer,工程师
901,仙人掌,office worker,上班族
902,聖誕樹,bodywash,沐浴露
903,蒲公英,condom,避孕套
904,花,pharmacist,药剂师
905,森林,vaseline,凡士林
906,草,have lunch,吃午饭
907,茉莉,thumb,拇指
908,葉,deodorant,止汗剂
909,百合,statistics,统计学
910,蓮花,lingustics,语言学
911,橡木,skinny,皮包骨
912,蘭花,elephant,大象
913,花瓣,unreliable,靠不住
914,根,reliable,能依靠的
915,玫瑰,polite,有礼貌
916,向日葵,patient,有耐性
917,樹,impolite,不礼貌
918,一半,shampoo,洗发水
919,足夠,impatient,没耐性
920,幾多個,wasp,黄蜂
921,幾,owl,猫头鹰
922,部份 ,I love you,我爱你
923,整個,Christmas tree,圣诞树
924,宗教,diabetes,糖尿病
925,神,Christian,基督徒
926,聖經,biology,生物学
927,天主教徒,we,我们
928,基督徒,radio,收音机
929,基督教,graduate ,毕业
930,教堂,TV series,电视剧
931,魔鬼,bus stop,公交车车站
932,天主,part ,部份
933,猶太教徒,sunflower,向日葵
934,猶太教,where?,哪里?
935,祭祖,motorcycle,摩托车
936,佛,calculus,微积分
937,寺廟,traffic lights,交通燈
938,天后,Muslim,穆斯林
939,伊斯蘭教,whiteboard ,白板
940,穆斯林,kindergarten,幼儿园
941,清真寺,subway station,地铁站
942,巫婆,depression,抑郁症
943,餐廳,dandelion,蒲公英
944,煙灰缸,economics,经济学
945,收據,kid / child,小朋友
946,廚師,how are you,你好吗
947,客人,ashtray,烟灰缸
948,餐牌,how many?,多少个?
949,貼士,ten thousand,一万
950,侍應,Christianity,基督教
951,洗手間,see you tomorrow!,明天见
952,唔該埋單,cactus,仙人掌
953,邊度,washroom,卫生间
954,呢度,Master's Degree (MA) ,硕士
955,嗰度,high heels,高跟鞋
956,近,jeans,牛仔裤
957,遠,concert,演唱会
958,方向,gangster movie,警匪片
959,左,cartoon,卡通片
960,右 ,marble,大理石
961,上,music,音乐
962,下,pink,粉红色
963,裏面,concrete,混凝土
964,出面,keyboard ,键盘
965,北,Cantonese,广东话
966,南,dishwasher,洗碗机
967,東,action movie,动作片
968,西,Christmas tree,圣诞树
969,係,Easter,复活节
970,去,report card,成绩表
971,嚟,sad,不开心
972,機場,Judaism,犹太教
973,單車,cauliflower,花椰菜
974,巴士,I love you,我爱你
975,巴士站,sociology,社会学
